rank,major,degree_type,early_career_pay,mid_career_pay,high_meaning_pct,total_tuition_cost,salary_advantage,years_to_break_even,lifetime_advantage,category
403,General Business,Bachelors,58000.0,96100.0,51.0,106372,18000.0,5.9095555555555555,1756628.0,Business & Economics
403,Public Relations (PR),Bachelors,53500.0,96100.0,43.0,106372,13500.0,7.879407407407407,1711628.0,Other
403,History & Political Science,Bachelors,58900.0,96100.0,48.0,106372,18900.0,5.628148148148148,1765628.0,Sciences & Mathematics
406,Administration of Justice,Bachelors,52800.0,96000.0,53.0,106372,12800.0,8.3103125,1701628.0,Other
406,Biology,Bachelors,55300.0,96000.0,66.0,106372,15300.0,6.952418300653595,1726628.0,Sciences & Mathematics
406,Web Design & Development,Bachelors,63000.0,96000.0,45.0,106372,23000.0,4.6248695652173915,1803628.0,Arts & Communications
409,Personnel Management,Bachelors,59600.0,95900.0,67.0,106372,19600.0,5.427142857142857,1766628.0,Business & Economics
410,Computer Animation,Bachelors,54800.0,95800.0,42.0,106372,14800.0,7.187297297297297,1715628.0,Engineering & Technology
410,Quality Management,Bachelors,73300.0,95800.0,64.0,106372,33300.0,3.1943543543543544,1900628.0,Business & Economics
410,Retail & Consumer Science,Bachelors,61600.0,95800.0,26.0,106372,21600.0,4.92462962962963,1783628.0,Sciences & Mathematics
413,Environmental Management,Bachelors,59100.0,95700.0,63.0,106372,19100.0,5.569214659685864,1755628.0,Business & Economics
414,History,Bachelors,56200.0,95600.0,47.0,106372,16200.0,6.566172839506173,1723628.0,Humanities & Social Sciences
415,Environmental Biology,Bachelors,52100.0,95500.0,68.0,106372,12100.0,8.79107438016529,1679628.0,Sciences & Mathematics
415,Media Studies,Bachelors,58800.0,95500.0,39.0,106372,18800.0,5.658085106382979,1746628.0,Arts & Communications
417,Apparel & Textile Manufacture,Bachelors,55800.0,95400.0,33.0,106372,15800.0,6.732405063291139,1713628.0,Other
417,Philosophy & Religion,Bachelors,51200.0,95400.0,59.0,106372,11200.0,9.4975,1667628.0,Humanities & Social Sciences
419,Publishing,Bachelors,54000.0,95300.0,40.0,106372,14000.0,7.598,1692628.0,Other
420,Environmental Geography,Bachelors,58300.0,95200.0,52.0,106372,18300.0,5.812677595628415,1732628.0,Other
421,Communication Studies & Journalism,Bachelors,52700.0,95100.0,45.0,106372,12700.0,8.375748031496062,1673628.0,Arts & Communications
422,Environmental Studies,Bachelors,57000.0,95000.0,59.0,106372,17000.0,6.257176470588235,1713628.0,Other
422,Health Management,Bachelors,52000.0,95000.0,,106372,12000.0,8.864333333333333,1663628.0,Business & Economics
424,Architectural Engineering Technology,Bachelors,55400.0,94900.0,50.0,106372,15400.0,6.907272727272727,1694628.0,Engineering & Technology
425,Agribusiness Management,Bachelors,60400.0,94700.0,40.0,106372,20400.0,5.214313725490196,1738628.0,Business & Economics
